time,temperature
1482195600,11.67
1482199200,9.91
1482202800,8.21
1482206400,6.78
1482210000,6.05
1482213600,5.55
1482217200,3.51
1482220800,2.46
1482224400,1.9
1482228000,1.45
1482231600,1.48
1482235200,1.06
1482238800,1.6
1482242400,6.02
1482246000,10.74
1482249600,15.46
1482253200,20.31
1482256800,23.5
1482260400,25.66
1482264000,27.05
1482267600,25.57
1482271200,23.16
1482274800,23.43
1482278400,23.02
1482282000,24.32
1482285600,24.01
1482289200,23.83
1482292800,24.87
1482296400,24.82
1482300000,25.42
1482303600,22.8
1482307200,19.39
1482310800,17.45
1482314400,14.3
1482318000,12.74
1482321600,12.04
1482325200,12.34
1482328800,16.8
1482332400,24.55
1482336000,31.32
1482339600,35.86
1482343200,36.92
1482346800,37.79
1482350400,36.59
1482354000,33.87
1482357600,31.63
1482361200,29.23
1482364800,26.46
1482368400,26.41
1482372000,26.06
1482375600,24.14
1482379200,23.2
1482382800,23.71
1482386400,23.19
1482390000,24.48
1482393600,25.91
1482397200,26.25
1482400800,26.12
1482404400,26.01
1482408000,26.13
1482411600,27.43
1482415200,28.56
1482418800,29.8
1482422400,30.9
1482426000,32.37
1482429600,34.23
1482433200,36.67
1482436800,38.1
1482440400,35.86
1482444000,36.1
1482447600,36.8
1482451200,35.68
1482454800,35.03
1482458400,35.16
1482462000,35.4
1482465600,33.49
1482469200,33.44
1482472800,34.33
1482476400,35.09
1482480000,34.97
1482483600,34.61
1482487200,31.61
1482490800,28.48
1482494400,26.17
1482498000,26.71
1482501600,31.59
1482505200,36.75
1482508800,40.15
1482512400,41.49
1482516000,42.58
1482519600,42.73
1482523200,42.42
1482526800,39.99
1482530400,36.18
1482534000,32.49
1482537600,31.11
1482541200,29.97
1482544800,30.4
1482548400,31.5
1482552000,31.44
1482555600,32.19
1482559200,31.79
1482562800,31.47
1482566400,30.08
1482570000,31.06
1482573600,32.62
1482577200,33.08
1482580800,35.22
1482584400,36.65
1482588000,35.41
1482591600,35.31
1482595200,35.43
1482598800,36.01
1482602400,36.79
1482606000,38.87
1482609600,40.19
1482613200,39.36
1482616800,39.22
1482620400,40.81
1482624000,40.07
1482627600,39.66
1482631200,39.66
1482634800,39.42
1482638400,38.88
1482642000,38.76
1482645600,37.98
1482649200,37.98
1482652800,37.86
1482656400,36.92
1482660000,35.88
1482663600,32.76
1482667200,30.8
1482670800,30.84
1482674400,36.52
1482678000,40.73
1482681600,42.47
1482685200,42.54
1482688800,41.79
1482692400,41.24
1482696000,39.72
1482699600,37.05
1482703200,33.74
1482706800,31.43
1482710400,29.47
1482714000,28.09
1482717600,27.26
1482721200,25.42
1482724800,24.92
1482728400,23.88
1482732000,22.73
1482735600,20.22
1482739200,18.68
1482742800,18.07
1482746400,16.89
1482750000,14.46
1482753600,14.49
1482757200,15.53
1482760800,20.58
1482764400,23.64
1482768000,26.54
1482771600,29.96
1482775200,32.19
1482778800,32.94
1482782400,33.02
1482786000,31.45
1482789600,31.03
1482793200,31.15
1482796800,31.54
1482800400,32.47
1482804000,33.71
1482807600,34.95
1482811200,37.93
1482814800,40.14
1482818400,42.35
1482822000,43.78
1482825600,44.99
1482829200,45.4
